joke_id,joke,Processed_joke,cluster,sorted_topics,main_topic
40," How many Irishmen does it take to change a lightbulb?   Two, one to hold the lightbulb and the other to drink until the room spins.  ",take change lightbulb hold lightbulb drink room spin,"[(0, 0.0038207362), (1, 0.00395632), (2, 0.0049671163), (3, 0.96369946), (4, 0.0029980564), (5, 0.0030205736), (6, 0.00495226), (7, 0.004636612), (8, 0.0034318825), (9, 0.0045169517)]","[(3, 0.96369946), (2, 0.0049671163), (6, 0.00495226), (7, 0.004636612), (9, 0.0045169517), (1, 0.00395632), (0, 0.0038207362), (8, 0.0034318825), (5, 0.0030205736), (4, 0.0029980564)]",3
41," What does an atheist say during an orgasm?  ""Oh Darwin! Oh Darwin!..."" ",say darwin oh darwin,"[(0, 0.0073414324), (1, 0.9290891), (2, 0.009544168), (3, 0.00876252), (4, 0.005760677), (5, 0.0058039436), (6, 0.009515622), (7, 0.008909114), (8, 0.0065942616), (9, 0.008679191)]","[(1, 0.9290891), (2, 0.009544168), (6, 0.009515622), (7, 0.008909114), (3, 0.00876252), (9, 0.008679191), (0, 0.0073414324), (8, 0.0065942616), (5, 0.0058039436), (4, 0.005760677)]",1
42," Two men are discussing the age old question: who enjoys sex more, the man or the woman?  A woman walks by and listens in for awhile and then interrupts:   ""Listen you guys. You know when your ear itches and you put in your  little finger and wiggle it around for awhile?  Afterward, which feels better, your finger or your ear?"" ",men discussing age question enjoys sex man woman woman walk listens guy know itch put finger wiggle feel finger ear,"[(0, 0.0015667344), (1, 0.0016223319), (2, 0.00203682), (3, 0.9851146), (4, 0.0012293855), (5, 0.001238619), (6, 0.002030728), (7, 0.0019012929), (8, 0.0014072807), (9, 0.0018522252)]","[(3, 0.9851146), (2, 0.00203682), (6, 0.002030728), (7, 0.0019012929), (9, 0.0018522252), (1, 0.0016223319), (0, 0.0015667344), (8, 0.0014072807), (5, 0.001238619), (4, 0.0012293855)]",3
43," Arnold Swartzeneger and Sylvester Stallone are making a movie about the lives of the great composers.    Stallone says ""I want to be Mozart.""   Swartzeneger says: ""In that case...  I'll be Bach."" ",swartzeneger sylvester stallone making movie life composer stallone say want swartzeneger say case bach,"[(0, 0.0022222374), (1, 0.0023010962), (2, 0.002889001), (3, 0.0026523978), (4, 0.0017437458), (5, 0.0017568425), (6, 0.97911465), (7, 0.0026967714), (8, 0.0019960701), (9, 0.0026271741)]","[(6, 0.97911465), (2, 0.002889001), (7, 0.0026967714), (3, 0.0026523978), (9, 0.0026271741), (1, 0.0023010962), (0, 0.0022222374), (8, 0.0019960701), (5, 0.0017568425), (4, 0.0017437458)]",6
44,"  A horse walks into a bar. Bartender says:  ""So, why the long face?"" ",horse walk bar bartender say face,"[(0, 0.0050258385), (1, 0.005204187), (2, 0.006533799), (3, 0.0059986943), (4, 0.9501949), (5, 0.003973296), (6, 0.006514257), (7, 0.00609905), (8, 0.004514336), (9, 0.005941648)]","[(4, 0.9501949), (2, 0.006533799), (6, 0.006514257), (7, 0.00609905), (3, 0.0059986943), (9, 0.005941648), (1, 0.005204187), (0, 0.0050258385), (8, 0.004514336), (5, 0.003973296)]",4
45,"  A boy comes home from school and tells his mother that he got a part in the school play.  ""What part?"" the mother asked. ""I play a Jewish husband,"" the boy replied.    ""Go back to school and tell your teacher that you want a speaking role!"" ",boy come home school tell mother got part school play part mother asked play husband boy replied go school tell teacher want speaking role,"[(0, 0.0013092414), (1, 0.0013557015), (2, 0.0017020683), (3, 0.0015626723), (4, 0.0010273359), (5, 0.0010350518), (6, 0.0016969774), (7, 0.0015888152), (8, 0.0011759939), (9, 0.9875461)]","[(9, 0.9875461), (2, 0.0017020683), (6, 0.0016969774), (7, 0.0015888152), (3, 0.0015626723), (1, 0.0013557015), (0, 0.0013092414), (8, 0.0011759939), (5, 0.0010350518), (4, 0.0010273359)]",9
46,"  A couple has been married for 75 years. For the husband's 95th birthday, his wife decides to surprise him by hiring a prostitute. That day, the doorbell rings. The husband uses his walker to get to the door and opens it.   A 21-year-old in a latex outfit smiles and says, ""Hi, I here to give you super sex!""   The old man says, ""I'll take the soup."" ",couple married year husband wife decides surprise hiring prostitute day doorbell ring husband get year latex outfit say give sex man say take soup,"[(0, 0.0013092664), (1, 0.0013557276), (2, 0.001702101), (3, 0.0015627024), (4, 0.0010273556), (5, 0.0010350717), (6, 0.9876951), (7, 0.0015888457), (8, 0.0011760165), (9, 0.0015478414)]","[(6, 0.9876951), (2, 0.001702101), (7, 0.0015888457), (3, 0.0015627024), (9, 0.0015478414), (1, 0.0013557276), (0, 0.0013092664), (8, 0.0011760165), (5, 0.0010350717), (4, 0.0010273556)]",6
47," There was an engineer who had an exceptional gift for fixing all  things mechanical.  After serving his company loyally for over 30  years, he happily retired.  Several years later the company contacted  him regarding a seemingly impossible problem they were having with  one of their multi-million dollar machines. They had tried everything and  everyone else to get the machine fixed, but to no avail.  In  desperation, they called on the retired engineer who had solved so  many of their problems in the past.  The engineer reluctantly took the challenge.  He spent a day studying  the huge machine.  At the end of the day, he marked a small ""x"" in  chalk on a particular component of the machine and proudly stated,   ""This is where your problem is"".  The part was replaced and the machine worked perfectly again. The  company received a bill for $50,000 from the engineer for his  service.They demanded an itemized accounting of his charges. The  engineer responded briefly:  One chalk mark                       $1   Knowing where to put it            $49,999  It was paid in full and the engineer retired again in peace.  ",engineer gift fixing thing serving company year retired year company contacted regarding problem multi dollar machine tried everything everyone get machine fixed desperation called retired solved problem engineer took challenge spent day studying machine end day marked chalk component machine stated problem part replaced machine worked company received bill engineer service demanded accounting charge engineer responded briefly chalk mark knowing put paid engineer retired peace,"[(0, 0.0004877273), (1, 0.0005050349), (2, 0.0006340658), (3, 0.99536616), (4, 0.00038271), (5, 0.00038558437), (6, 0.0006321693), (7, 0.000591876), (8, 0.00043808908), (9, 0.0005766011)]","[(3, 0.99536616), (2, 0.0006340658), (6, 0.0006321693), (7, 0.000591876), (9, 0.0005766011), (1, 0.0005050349), (0, 0.0004877273), (8, 0.00043808908), (5, 0.00038558437), (4, 0.00038271)]",3
48," The graduate with a Science degree asks, ""Why does it work?""  The graduate with an Engineering degree asks, ""How does it work?""  The graduate with an Accounting degree Asks, ""How much will it cost?""   The graduate with a  Liberal Arts degree asks, ""Do you want fries  with  that?"" ",graduate science degree asks work graduate engineering degree asks work graduate accounting degree asks cost graduate art degree asks want fry,"[(0, 0.0014932993), (1, 0.0015462909), (2, 0.9859713), (3, 0.0017823586), (4, 0.0011717625), (5, 0.0011805631), (6, 0.0019355448), (7, 0.0018121767), (8, 0.0013413194), (9, 0.0017654087)]","[(2, 0.9859713), (6, 0.0019355448), (7, 0.0018121767), (3, 0.0017823586), (9, 0.0017654087), (1, 0.0015462909), (0, 0.0014932993), (8, 0.0013413194), (5, 0.0011805631), (4, 0.0011717625)]",2
49," Three engineering students were gathered together discussing the possible designers of the human body.    One said, ""It was a mechanical engineer. Just look at all the joints.""    Another said, ""No, it was an electrical engineer.  The nervous systems many thousands of electrical connections.""    The last said, ""Actually it was a civil engineer. Who else would run a toxic waste pipeline through a recreational area?"" ",engineering student gathered discussing designer body said engineer look joint said engineer system connection said engineer would run waste pipeline area,"[(0, 0.0014932841), (1, 0.0015462752), (2, 0.0019413314), (3, 0.0017823405), (4, 0.0011717506), (5, 0.98521066), (6, 0.0019355251), (7, 0.0018121583), (8, 0.0013413058), (9, 0.0017653907)]","[(5, 0.98521066), (2, 0.0019413314), (6, 0.0019355251), (7, 0.0018121583), (3, 0.0017823405), (9, 0.0017653907), (1, 0.0015462752), (0, 0.0014932841), (8, 0.0013413058), (4, 0.0011717506)]",5
50," A guy goes into confession and says to the priest, ""Father, I'm 80 years old, widower, with 11 grandchildren. Last night I met two beautiful flight attendants. They took me home and I made love to both of them. Twice.""   The priest said: ""Well, my son, when was the last time you were in confession?""   ""Never Father, I'm Jewish.""   ""So then, why are you telling me?""   ""I'm telling everybody."" ",guy go confession say father year widower grandchild night met flight attendant took home made priest said son time confession telling telling everybody,"[(0, 0.0013653478), (1, 0.0014137989), (2, 0.001775009), (3, 0.0016296393), (4, 0.0010713615), (5, 0.0010794081), (6, 0.0017697), (7, 0.0016569026), (8, 0.0012263901), (9, 0.9870124)]","[(9, 0.9870124), (2, 0.001775009), (6, 0.0017697), (7, 0.0016569026), (3, 0.0016296393), (1, 0.0014137989), (0, 0.0013653478), (8, 0.0012263901), (5, 0.0010794081), (4, 0.0010713615)]",9
51, Did you hear that Clinton has announced there is a new national bird?    The spread eagle. ,clinton announced bird spread eagle,"[(0, 0.005966928), (1, 0.94236547), (2, 0.007757255), (3, 0.007121952), (4, 0.0046821306), (5, 0.0047172965), (6, 0.0077340533), (7, 0.007241099), (8, 0.005359647), (9, 0.007054223)]","[(1, 0.94236547), (2, 0.007757255), (6, 0.0077340533), (7, 0.007241099), (3, 0.007121952), (9, 0.007054223), (0, 0.005966928), (8, 0.005359647), (5, 0.0047172965), (4, 0.0046821306)]",1
52, Q: What do Monica Lewinsky and Bob Dole have in common?  A: They were both upset when Bill finished first. ,monica lewinsky bill finished,"[(0, 0.007341465), (1, 0.007601986), (2, 0.00954421), (3, 0.008762559), (4, 0.92724746), (5, 0.005803969), (6, 0.009515664), (7, 0.008909153), (8, 0.0065942905), (9, 0.008679229)]","[(4, 0.92724746), (2, 0.00954421), (6, 0.009515664), (7, 0.008909153), (3, 0.008762559), (9, 0.008679229), (1, 0.007601986), (0, 0.007341465), (8, 0.0065942905), (5, 0.005803969)]",4
53," One Sunday morning William burst into the living room and said, ""Dad! Mom! I have some great news for you! I am getting married to the most beautiful girl in town. She lives a block away and her name is Susan.""  After dinner, William's dad took him aside. ""Son, I have to talk with you. Your mother and I have been married 30 years.. She's a wonderful wife but she has never offered much excitement in the bedroom, so I used to fool around with women a lot. Susan is actually your half-sister, and I'm afraid you can't marry her.""  William was heart-broken. After eight months he eventually started dating girls again. A year later he came home and very proudly announced, ""Dianne said yes! We're getting married in June.""  Again his father insisted on another private conversation and broke the sad news. ""Dianne is your half-sister too, William. I'm awfully sorry about this.""  William was furious! He finally decided to go to his mother with the news.  ""Dad has done so much harm.. I guess I'm never going to get married,""  he complained. ""Every time I fall in love, Dad tells me the girl is my half-sister.""  His mother just shook her head. ""Don't pay any attention to what he says, dear. He's not really your father."" ",sunday morning william burst living room said mom news getting girl town life block name dinner william dad took talk mother married year wife offered excitement bedroom used fool woman lot susan marry heart broken month started dating girl year came announced dianne said re getting married june father insisted conversation broke news dianne half sister william decided go news dad done harm guess going get married time fall love dad tell girl sister mother shook head pay attention say,"[(0, 0.00039667287), (1, 0.00041074932), (2, 0.00051569124), (3, 0.00047345718), (4, 0.0003112614), (5, 0.00031359916), (6, 0.00051414885), (7, 0.9962391), (8, 0.00035630167), (9, 0.0004689547)]","[(7, 0.9962391), (2, 0.00051569124), (6, 0.00051414885), (3, 0.00047345718), (9, 0.0004689547), (1, 0.00041074932), (0, 0.00039667287), (8, 0.00035630167), (5, 0.00031359916), (4, 0.0003112614)]",7
54," The Pope dies and, naturally, goes to heaven. He's met by the reception committee, and after a whirlwind tour he is told that he can enjoy any of the myriad of recreations available.  He decides that he wants to read all of the ancient original text of the Holy Scriptures, so he spends the next eon or so learning languages. After becoming a linguistic master, he sits down in the library and begins to pour over every version of the Bible, working back from most recent ""Easy Reading"" to the original script.  All of a sudden there is a scream in the library. The Angels come running in only to find the Pope huddled in his chair, crying to himself and muttering, ""An 'R'! The scribes left out the 'R'.""  A particularly concerned Angel takes him aside, offering comfort, asks him what the problem is and what does he mean.   After collecting his wits, the Pope sobs again, ""It's the letter 'R'. They left out the 'R'. The word was supposed to be CELEBRATE!"" ",pope dy go met reception committee told enjoy myriad recreation decides want text scripture spends eon learning language becoming master sits begin version working reading script scream library angel running find pope huddled chair cry muttering scribe left angel take offering comfort asks problem mean collecting pope sob letter left word supposed celebrate,"[(0, 0.00059747003), (1, 0.00061867206), (2, 0.0007767359), (3, 0.00071312283), (4, 0.00046882295), (5, 0.0004723441), (6, 0.00077441277), (7, 0.9943354), (8, 0.0005366628), (9, 0.0007063412)]","[(7, 0.9943354), (2, 0.0007767359), (6, 0.00077441277), (3, 0.00071312283), (9, 0.0007063412), (1, 0.00061867206), (0, 0.00059747003), (8, 0.0005366628), (5, 0.0004723441), (4, 0.00046882295)]",7
55," A woman has twins, and gives them up for adoption.  One of them goes to a family in Egypt and is named ""Amal.""  The other goes to a  family in Spain; they name him ""Juan.""  Years later, Juan sends a picture of himself to his mom.  Upon receiving the picture, she tells her husband that she wishes she also had a picture of Amal.    Her husband responds, ""But they are twins-if you've seen Juan, you've seen   Amal. ",woman twin adoption go family egypt named go family spain name year sends picture receiving picture tell husband wish picture husband responds ve seen ve seen,"[(0, 0.0012098489), (1, 0.001252782), (2, 0.0015728539), (3, 0.9885053), (4, 0.00094934454), (5, 0.00095647475), (6, 0.0015681495), (7, 0.0014681986), (8, 0.001086717), (9, 0.0014303079)]","[(3, 0.9885053), (2, 0.0015728539), (6, 0.0015681495), (7, 0.0014681986), (9, 0.0014303079), (1, 0.001252782), (0, 0.0012098489), (8, 0.001086717), (5, 0.00095647475), (4, 0.00094934454)]",3
56," A man and Cindy Crawford get stranded on a desert island.  After a couple of days they fall in love and start sleeping together.  Time pass the man seems frustrated, Cindy asks if there is anything she can do?  He says there is one thing, ""Could you put on this baseball cap and go to the other side of the island and answer me when I call you Bob?""  She agrees.  Next day he is walking on the other side of the island, runs into her and says ""Hi Bob!""    She says ""Hello, what's up?""    He replies: ""Bob you won't believe it: I've been sleeping with Cindy Crawford for the past two weeks!!!!"" ",man cindy crawford get stranded desert island couple day fall love start sleeping time man seems cindy asks anything say thing could put baseball cap go island answer call bob agrees day walking side island run say bob say reply bob won believe ve sleeping crawford week,"[(0, 0.00067317503), (1, 0.0006970635), (2, 0.00087515556), (3, 0.00080348214), (4, 0.0005282272), (5, 0.0005321945), (6, 0.000872538), (7, 0.99361765), (8, 0.0006046629), (9, 0.00079584116)]","[(7, 0.99361765), (2, 0.00087515556), (6, 0.000872538), (3, 0.00080348214), (9, 0.00079584116), (1, 0.0006970635), (0, 0.00067317503), (8, 0.0006046629), (5, 0.0005321945), (4, 0.0005282272)]",7
57, Why are there so many Jones's in the phone book?  Because they all have phones. ,jones phone book phone,"[(0, 0.007341656), (1, 0.007602184), (2, 0.009544458), (3, 0.008762787), (4, 0.0057608527), (5, 0.00580412), (6, 0.93100065), (7, 0.008909385), (8, 0.0065944623), (9, 0.008679454)]","[(6, 0.93100065), (2, 0.009544458), (7, 0.008909385), (3, 0.008762787), (9, 0.008679454), (1, 0.007602184), (0, 0.007341656), (8, 0.0065944623), (5, 0.00580412), (4, 0.0057608527)]",6
58," How many teddybears does it take to change a lightbulb?   It takes only one teddybear, but it takes a whole lot of lightbulbs. ",teddybears take change lightbulb take take lot lightbulb,"[(0, 0.0038207318), (1, 0.0039563156), (2, 0.0049671107), (3, 0.9636995), (4, 0.0029980529), (5, 0.0030205701), (6, 0.0049522542), (7, 0.0046366067), (8, 0.0034318785), (9, 0.0045169466)]","[(3, 0.9636995), (2, 0.0049671107), (6, 0.0049522542), (7, 0.0046366067), (9, 0.0045169466), (1, 0.0039563156), (0, 0.0038207318), (8, 0.0034318785), (5, 0.0030205701), (4, 0.0029980529)]",3
59," The Chukcha (Russian Eskimo) phones up the Russian Parliament Building.   A guard answers.   Chukcha:  ""What is required to become Parliament member?""  Guard:  ""What are you, an idiot?""  Chukcha:  ""Is it required?"" ",chukcha eskimo phone parliament building guard answer chukcha required member guard idiot chukcha required,"[(0, 0.0022222563), (1, 0.002301116), (2, 0.0028890257), (3, 0.0026524204), (4, 0.0017437608), (5, 0.0017568575), (6, 0.002880385), (7, 0.9789309), (8, 0.0019960871), (9, 0.0026271965)]","[(7, 0.9789309), (2, 0.0028890257), (6, 0.002880385), (3, 0.0026524204), (9, 0.0026271965), (1, 0.002301116), (0, 0.0022222563), (8, 0.0019960871), (5, 0.0017568575), (4, 0.0017437608)]",7
60, What did the Buddhist say to the hot dog vendor?  Make me one with everything. ,say dog vendor make everything,"[(0, 0.005967114), (1, 0.0061788647), (2, 0.0077574966), (3, 0.5687857), (4, 0.004682277), (5, 0.0047174436), (6, 0.0077342945), (7, 0.0072413245), (8, 0.37988096), (9, 0.007054443)]","[(3, 0.5687857), (8, 0.37988096), (2, 0.0077574966), (6, 0.0077342945), (7, 0.0072413245), (9, 0.007054443), (1, 0.0061788647), (0, 0.005967114), (5, 0.0047174436), (4, 0.004682277)]",3
61,"  During a recent publicity outing, Hillary sneaked off to visit a fortune teller of some local repute.  In a dark and hazy room, peering into a crystal ball, the mystic delivered grave news.  ""There's no easy way to say this, so I'll just be blunt: Prepare yourself to be a widow.  Your husband will die a violent and horrible death this year.""  Visibly shaken, Hillary stared at the woman's lined face, then at  the single flickering candle, then down at her hands.  She took a few  deep breaths to compose herself.  She simply had to know.  She met the fortune teller's gaze, steadied her voice, and asked her question.  ""Will I be acquitted?"" ",publicity outing visit fortune teller repute dark hazy room peering ball delivered grave news way say blunt prepare husband die death year shaken stared woman lined face flickering hand took breath compose know fortune teller gaze steadied voice asked question acquitted,"[(0, 0.0007708934), (1, 0.00079824956), (2, 0.99275786), (3, 0.0009201159), (4, 0.00060490484), (5, 0.00060944806), (6, 0.000999196), (7, 0.0009355091), (8, 0.00069243606), (9, 0.00091136585)]","[(2, 0.99275786), (6, 0.000999196), (7, 0.0009355091), (3, 0.0009201159), (9, 0.00091136585), (1, 0.00079824956), (0, 0.0007708934), (8, 0.00069243606), (5, 0.00060944806), (4, 0.00060490484)]",2
62," A group of  managers were given the assignment to measure the height of a flagpole. So they go out to the flagpole with ladders and tape measures, and they're falling off the ladders, dropping the tape measures - the whole thing is just a mess. An engineer comes along and sees what they're trying to do, walks over, pulls the flagpole out of the ground, lays it flat, measures it from end to end, gives the measurement to one of the managers and walks away.  After the engineer has gone, one manager turns to another and laughs. ""Isn't that just like an engineer, we're looking for the  height and he gives us the length."" ",group manager given measure height ladder tape measure re falling dropping tape measure thing mess engineer come see re trying walk flagpole ground lay measure end give measurement manager walk gone manager turn laugh isn engineer re looking length,"[(0, 0.0008100677), (1, 0.000838814), (2, 0.99238986), (3, 0.00096687325), (4, 0.00063564413), (5, 0.0006404182), (6, 0.0010499719), (7, 0.0009830486), (8, 0.0007276234), (9, 0.0009576785)]","[(2, 0.99238986), (6, 0.0010499719), (7, 0.0009830486), (3, 0.00096687325), (9, 0.0009576785), (1, 0.000838814), (0, 0.0008100677), (8, 0.0007276234), (5, 0.0006404182), (4, 0.00063564413)]",2
63," An engineer, a physicist and a mathematician are sleeping in a room. There is a fire in the room. The engineer wakes up, sees the fire, picks up the bucket of water and douses the fire and goes back to sleep.    Again there is fire in the room. This time, the physicist wakes up, notices the bucket, fills it with water, calculates the optimal trajectory and douses the fire in minimum amount of water and goes back to sleep.    Again there is fire. This time the mathematician wakes up.  He looks at the fire, looks at the bucket and the water and exclaims, ""A solution exists"" and goes back to sleep. ",engineer physicist sleeping room fire room engineer wake see fire pick bucket water douses fire go fire room time wake notice bucket water calculates trajectory douses fire amount water go fire time wake look fire look bucket water exclaims solution exists go sleep,"[(0, 0.0007352903), (1, 0.00076138304), (2, 0.00095590804), (3, 0.0008776211), (4, 0.00057696784), (5, 0.0005813012), (6, 0.99308944), (7, 0.00089230336), (8, 0.0006604565), (9, 0.0008692751)]","[(6, 0.99308944), (2, 0.00095590804), (7, 0.00089230336), (3, 0.0008776211), (9, 0.0008692751), (1, 0.00076138304), (0, 0.0007352903), (8, 0.0006604565), (5, 0.0005813012), (4, 0.00057696784)]",6
64, What is the rallying cry of the International Dyslexic Pride movement?  Dyslexics Untie! ,rallying cry dyslexic pride movement dyslexics,"[(0, 0.005025997), (1, 0.005204351), (2, 0.0065340055), (3, 0.005998884), (4, 0.003943801), (5, 0.003973421), (6, 0.0065144626), (7, 0.0060992427), (8, 0.0045144786), (9, 0.95219135)]","[(9, 0.95219135), (2, 0.0065340055), (6, 0.0065144626), (7, 0.0060992427), (3, 0.005998884), (1, 0.005204351), (0, 0.005025997), (8, 0.0045144786), (5, 0.003973421), (4, 0.003943801)]",9
65," Two Rednecks were seated at the end of a bar when a young lady seated a few stools up began to choke on a piece of hamburger.  She was turning blue and obviously in serious respiratory distress. One said to the other, ""That gal there is having a bad time!""  The other agreed and said ""Think we should go help?""  ""You bet,"" said the first,and with that, he ran over and said, ""Can you breathe??""  She shook her head no.  He said, ""Can you speak??""  She again shook her head no. With that, he pulled up her skirt and licked her on the butt.  She was so shocked, she coughed up the obstruction and began to breathe-with great relief.  The redneck walked back to his friend and said, ""Funny how that hind lick maneuver always works."" ",redneck seated bar lady seated stool began piece hamburger turning respiratory distress said time agreed said think go help bet said ran said shook head said shook head pulled skirt licked shocked obstruction began relief redneck walked friend said hind maneuver work,"[(0, 0.00075265084), (1, 0.00077935966), (2, 0.0009784774), (3, 0.0008983421), (4, 0.00059059024), (5, 0.9925458), (6, 0.00097555085), (7, 0.00091337104), (8, 0.00067605014), (9, 0.0008897991)]","[(5, 0.9925458), (2, 0.0009784774), (6, 0.00097555085), (7, 0.00091337104), (3, 0.0008983421), (9, 0.0008897991), (1, 0.00077935966), (0, 0.00075265084), (8, 0.00067605014), (4, 0.00059059024)]",5
66," A lawyer opened the door of his BMW, when suddenly a car came along and hit the door, ripping it off completely.  When the police arrived at the scene, the lawyer was complaining bitterly about the damage to his precious BMW.    ""Officer, look what they've done to my Beeeeemer!!!"", he whined.    ""You lawyers are so materialistic, you make me sick!!!""  retorted the officer.  ""You're so worried about your stupid BMW, that you didn't even notice that your left arm was ripped off!!!""    ""Oh my gaaaad..."", replied the lawyer, finally noticing the bloody left shoulder where his arm once was.  ""Where's my Rolex???!!!!"" ",lawyer opened bmw car came door ripping police arrived scene lawyer complaining damage officer look done beeeeemer whined lawyer make retorted officer re worried bmw didn left arm ripped gaaaad replied lawyer noticing bloody left arm rolex,"[(0, 0.0008534619), (1, 0.0008837482), (2, 0.001109536), (3, 0.0010186674), (4, 0.00066969474), (5, 0.0006747246), (6, 0.0011062175), (7, 0.9919083), (8, 0.00076660124), (9, 0.00100898)]","[(7, 0.9919083), (2, 0.001109536), (6, 0.0011062175), (3, 0.0010186674), (9, 0.00100898), (1, 0.0008837482), (0, 0.0008534619), (8, 0.00076660124), (5, 0.0006747246), (4, 0.00066969474)]",7
67," Once upon a time, two brooms fell in love and decided to get married. Before the ceremony, the bride broom informed the groom broom that  she was expecting a little whiskbroom. The groom broom was aghast!   ""How is this possible?"" he asked. ""We've never swept together! ",time broom fell decided get married ceremony bride broom informed groom broom expecting whiskbroom groom broom asked ve swept,"[(0, 0.0016477408), (1, 0.001706213), (2, 0.9845204), (3, 0.0019666955), (4, 0.0012929497), (5, 0.0013026606), (6, 0.0021357245), (7, 0.0019995975), (8, 0.0014800427), (9, 0.0019479926)]","[(2, 0.9845204), (6, 0.0021357245), (7, 0.0019995975), (3, 0.0019666955), (9, 0.0019479926), (1, 0.001706213), (0, 0.0016477408), (8, 0.0014800427), (5, 0.0013026606), (4, 0.0012929497)]",2
68," A man piloting a hot air balloon discovers he has wandered off course and is hopelessly lost. He descends to a lower altitude and locates a man down on the ground. He lowers the balloon further and shouts ""Excuse me, can you tell me where I am?""   The man below says: ""Yes, you're in a hot air balloon, about 30 feet above this field.""   ""You must work in Information Technology,"" says the balloonist.   ""Yes I do,"" replies the man. ""And how did you know that?""   ""Well,"" says the balloonist, ""what you told me is technically correct, but of no use to anyone.""   The man below says, ""You must work in management.""   ""I do,"" replies the balloonist, ""how did you know?""   ""Well,"" says the man, ""you don't know where you are, or where you're going, but you expect my immediate help. You're in the same position you were before we met, but now it's my fault!""   ",man piloting air balloon discovers wandered course lost descends altitude locates man ground balloon shout excuse tell man say air balloon foot field must work information technology say yes reply man know say balloonist told use anyone man say must work management balloonist know say man know re going expect help re position met fault,"[(0, 0.99441737), (1, 0.0005962882), (2, 0.00074863323), (3, 0.0006873217), (4, 0.0004518607), (5, 0.00045525446), (6, 0.0007463941), (7, 0.0006988203), (8, 0.0005172461), (9, 0.0006807854)]","[(0, 0.99441737), (2, 0.00074863323), (6, 0.0007463941), (7, 0.0006988203), (3, 0.0006873217), (9, 0.0006807854), (1, 0.0005962882), (8, 0.0005172461), (5, 0.00045525446), (4, 0.0004518607)]",0
69," This guys wife asks, ""Honey if I died would you remarry?"" and he replies, ""Well, after a considerable period of grieving, we all need companionship, I guess I would.""   She then asks, ""If I died and you remarried, would she live in this house?"" and he replies, ""We've spent a lot of time and money getting this house just the way we want it. I'm not going to get rid of my house, I guess she would.""   ""If I died and you remarried, and she lived in this house, would she sleep in our bed?"" and he says, ""That bed is brand new, we just paid two thousand dollars for it, it's going to last a long time, I guess she would.""   So she asks, ""If I died and you remarried, and she lived in this house, and slept in our bed, would she use my golf clubs?""   ""Oh no, she's left handed."" ",wife asks honey died would remarry period grieving companionship guess would asks remarried would live house reply spent lot time money getting house way want going get house guess would died lived house would sleep bed say bed brand paid thousand dollar going time guess would asks died lived house slept bed would use golf club oh left handed,"[(0, 0.0005370411), (1, 0.0005560987), (2, 0.9949548), (3, 0.0006409966), (4, 0.00042140557), (5, 0.00042457058), (6, 0.0006960876), (7, 0.0006517202), (8, 0.000482384), (9, 0.0006349009)]","[(2, 0.9949548), (6, 0.0006960876), (7, 0.0006517202), (3, 0.0006409966), (9, 0.0006349009), (1, 0.0005560987), (0, 0.0005370411), (8, 0.000482384), (5, 0.00042457058), (4, 0.00042140557)]",2
70," Employer to applicant: ""In this job we need someone who is responsible.""   Applicant: ""I'm the one you want. On my last job, every time anything went wrong, they said I was responsible.""   ",employer job need someone want job time anything went said,"[(0, 0.0030818016), (1, 0.0031911633), (2, 0.0040064706), (3, 0.0036783486), (4, 0.002418229), (5, 0.0024363913), (6, 0.003994487), (7, 0.003739886), (8, 0.0027681526), (9, 0.97068506)]","[(9, 0.97068506), (2, 0.0040064706), (6, 0.003994487), (7, 0.003739886), (3, 0.0036783486), (1, 0.0031911633), (0, 0.0030818016), (8, 0.0027681526), (5, 0.0024363913), (4, 0.002418229)]",9
71," At a recent Sacramento PC Users Group meeting, a company was demonstrating its latest speech- recognition software.   A representative from the company was just about ready to start the demonstration and asked everyone in the room to quiet down.   Just then someone in the back of the room yelled,  ""Format C: Return.""    Someone else chimed in:  ""Yes, Return""    Unfortunately, the software worked.   ",pc user group meeting company demonstrating speech recognition software company start demonstration asked everyone room someone room yelled return someone chimed return software worked,"[(0, 0.0013092596), (1, 0.0013557203), (2, 0.0017020919), (3, 0.9875608), (4, 0.0010273501), (5, 0.0010350662), (6, 0.001697001), (7, 0.0015888372), (8, 0.0011760102), (9, 0.0015478332)]","[(3, 0.9875608), (2, 0.0017020919), (6, 0.001697001), (7, 0.0015888372), (9, 0.0015478332), (1, 0.0013557203), (0, 0.0013092596), (8, 0.0011760102), (5, 0.0010350662), (4, 0.0010273501)]",3
